number,value,datetime_start,datetime_complete,duration,params_accumulation,params_batch,params_dp,params_h_size,params_lr,params_ls,params_n_layers,params_wd,state
76,0.7595778607526192,2026-08-14 10:24:10.236678,2026-08-14 10:32:50.385239,0 days 00:08:40.148561,1,32,0.11446723850688259,512,9.304515201912591e-05,0.07444411596376602,2,6.11593286599631e-05,COMPLETE
77,0.753115134846001,2026-08-14 10:32:50.438832,2026-08-14 10:41:53.297846,0 days 00:09:02.859014,1,32,0.11477776545424893,512,8.920576965924085e-05,0.05635354679261778,2,6.0590719967338075e-05,COMPLETE
78,,2026-08-14 10:41:53.352906,,,1,32,0.06221460745555496,512,9.764183015349958e-05,0.029453331722778572,2,5.370514686188984e-05,RUNNING
79,0.7531477083466254,2026-08-14 11:02:21.917093,2026-08-14 11:10:03.258206,0 days 00:07:41.341113,1,32,0.09438151231662821,512,0.00011243494256427934,0.041265688294039565,2,5.292411535408127e-05,COMPLETE
80,0.7045225425460597,2026-08-14 11:10:03.334416,2026-08-14 11:17:54.578501,0 days 00:07:51.244085,4,32,0.062495406725663324,64,9.577540364191839e-05,0.09839474662801007,2,7.66003679170012e-05,COMPLETE
81,0.7545798864409066,2026-08-14 11:17:54.655758,2026-08-14 11:27:30.764810,0 days 00:09:36.109052,2,32,0.1423670573259082,256,0.0001060464239139814,0.02908573357586841,2,6.58191211845656e-05,COMPLETE
82,0.7557127762525278,2026-08-14 11:27:30.843602,2026-08-14 11:35:56.789431,0 days 00:08:25.945829,1,32,0.06746661278696356,512,7.575383363321746e-05,0.15212333040331227,2,8.900441434831815e-05,COMPLETE
83,0.7551036187195799,2026-08-14 11:35:56.859767,2026-08-14 11:41:35.570428,0 days 00:05:38.710661,1,32,0.032772934410812506,128,8.326802129056782e-05,0.0483109347648694,2,6.345217642491472e-05,COMPLETE
84,0.7539085987910973,2026-08-14 11:41:35.640504,2026-08-14 11:50:20.810914,0 days 00:08:45.170410,1,32,0.11953674901701905,512,7.332044127884629e-05,0.14717746153326428,2,7.512205738186588e-05,COMPLETE
85,0.7556543487967269,2026-08-14 11:50:20.891383,2026-08-14 11:59:16.947091,0 days 00:08:56.055708,1,32,0.06671026934267754,512,9.417471352131977e-05,0.1233458775598492,2,8.899853290260039e-05,COMPLETE
86,0.7507162074703955,2026-08-14 11:59:17.019963,2026-08-14 12:07:30.153714,0 days 00:08:13.133751,1,32,0.07398263350220119,512,7.743164651436065e-05,0.20294136003170943,2,8.198817856815872e-05,COMPLETE
87,0.7515216693776706,2026-08-14 12:07:30.255536,2026-08-14 12:16:22.079308,0 days 00:08:51.823772,1,32,0.3116626931044254,512,8.758511485179243e-05,0.17345502050530712,2,6.788488205551804e-05,COMPLETE
88,0.7526876664155077,2026-08-14 12:16:22.168570,2026-08-14 12:29:09.722390,0 days 00:12:47.553820,1,32,0.10093960538173022,512,6.669989747224712e-05,0.0746469831465412,2,9.22865749338141e-05,COMPLETE
89,0.7337859648141775,2026-08-14 12:29:09.816792,2026-08-14 12:37:34.192177,0 days 00:08:24.375385,1,32,0.08151460296994202,32,0.0001020921457314761,0.1573672337892442,2,5.746318930189675e-05,COMPLETE
90,0.7501451169529456,2026-08-14 12:37:34.258406,2026-08-14 12:48:33.721605,0 days 00:10:59.463199,1,32,0.04745378594881947,512,0.00011893163277146767,0.11006798920653578,2,7.822617287885033e-05,COMPLETE
91,0.7520341661200222,2026-08-14 12:48:33.809876,2026-08-14 12:55:59.828369,0 days 00:07:26.018493,2,32,0.16307200414453815,64,0.0001344826705815076,0.09135971364339232,2,0.00010517548753435056,COMPLETE
92,0.7460931122174075,2026-08-14 12:55:59.897790,2026-08-14 13:07:41.241097,0 days 00:11:41.343307,1,32,0.06129999552131332,256,0.0001102948908029893,0.1901332446437297,2,9.843022264933575e-05,COMPLETE
93,0.7535956511955207,2026-08-14 13:07:41.313648,2026-08-14 13:18:48.159721,0 days 00:11:06.846073,1,32,0.11932647263814587,512,9.240896197865727e-05,0.1386841550715118,2,8.526728843616073e-05,COMPLETE
94,0.7537071135733151,2026-08-14 13:18:48.302337,2026-08-14 13:29:53.311746,0 days 00:11:05.009409,1,32,0.08632837055329097,512,7.949859438675407e-05,0.1247007588782552,2,9.074561542229274e-05,COMPLETE
95,0.7513979950814809,2026-08-14 13:29:53.390839,2026-08-14 13:41:09.973336,0 days 00:11:16.582497,1,32,0.0685268906542201,512,9.632241816813107e-05,0.11296007333119143,2,8.931185363849222e-05,COMPLETE
